# ----------------------------------------
# Événements: Nom de l'événement
# Compte : ecommerce
# Propriété : TechShop Local
# ----------------------------------------
# 
# Tous les utilisateurs
# Date de début : 20260113
# Date de fin : 20260209
Nom de l'événement,Nombre d'événements,Nombre total d'utilisateurs,Nombre d'événements par utilisateur actif,Revenu total
temps_page_tracker,163,2,81.5,0
clic_tracker,35,2,17.5,0
page_view,34,2,17,0
page_hidden_tracker,29,2,14.5,0
performance_metrics_tracker,17,2,8.5,0
sortie_page_tracker,16,2,8,0
scroll_tracker,14,2,7,0
focus_champ_tracker,13,1,13,0
page_visible_tracker,13,2,6.5,0
filtre_produits_tracker,11,2,5.5,0
user_inactive_tracker,6,2,3,0
activite_souris_tracker,5,2,2.5,0
ajout_panier_tracker,4,2,2,0
shop_now_clicked_tracker,3,1,3,0
debut_paiement_tracker,2,2,1,0
first_visit,2,2,1,0
session_start,2,2,1,0
footer_link_clicked_tracker,1,1,1,0
product_viewed_tracker,1,1,1,0
